Date,Open,High,Low,Close,Adj Close,Volume
17/10/2017,350.910004,356.220001,350.070007,355.75,355.75,3293300
18/10/2017,355.970001,363,354.130005,359.649994,359.649994,4939100
19/10/2017,355.559998,357.149994,348.200012,351.809998,351.809998,5061800
20/10/2017,352.690002,354.549988,344.339996,345.100006,345.100006,4930400
23/10/2017,349.880005,349.950012,336.25,337.019989,337.019989,5747300
24/10/2017,338.799988,342.799988,336.160004,337.339996,337.339996,4491700
25/10/2017,336.700012,337.5,323.559998,325.839996,325.839996,8594100
26/10/2017,327.779999,330.230011,323.200012,326.170013,326.170013,5023500
27/10/2017,319.75,324.589996,316.660004,320.869995,320.869995,6979700
30/10/2017,319.179993,323.779999,317.25,320.079987,320.079987,4254400
31/10/2017,320.230011,331.950012,320.179993,331.529999,331.529999,5672300
01/11/2017,332.25,332.609985,320.26001,321.079987,321.079987,8457300
02/11/2017,300.130005,308.690002,292.630005,299.26001,299.26001,19791400
03/11/2017,299.5,306.25,295.130005,306.089996,306.089996,8894000
06/11/2017,307,307.5,299.01001,302.779999,302.779999,6486000
07/11/2017,301.019989,306.5,300.029999,306.049988,306.049988,5294300
08/11/2017,305.5,306.890015,301.299988,304.390015,304.390015,4725300
09/11/2017,302.5,304.459991,296.299988,302.98999,302.98999,5447100
10/11/2017,302.5,308.359985,301.850006,302.98999,302.98999,4625400
13/11/2017,300.130005,316.799988,299.109985,315.399994,315.399994,7584900
14/11/2017,315,316.350006,306.899994,308.700012,308.700012,5676100
15/11/2017,306.01001,312.48999,301.5,311.299988,311.299988,5978700
16/11/2017,313.98999,318.140015,311.299988,312.5,312.5,5822100
17/11/2017,325.670013,326.670013,313.149994,315.049988,315.049988,13735100
20/11/2017,313.790009,315.5,304.75,308.73999,308.73999,8247700
21/11/2017,310.859985,318.230011,308.709991,317.809998,317.809998,7261300
22/11/2017,316.769989,317.420013,311.839996,312.600006,312.600006,4917600
24/11/2017,313.790009,316.410004,311,315.549988,315.549988,3244100
27/11/2017,313.25,317.339996,309.51001,316.809998,316.809998,4555900
28/11/2017,316.359985,320,313.920013,317.549988,317.549988,4949500
29/11/2017,317.299988,318,301.230011,307.540009,307.540009,8767400
30/11/2017,308.559998,310.700012,304.540009,308.850006,308.850006,4351600
01/12/2017,305.440002,310.320007,305.049988,306.529999,306.529999,4292900
04/12/2017,306.5,308.269989,300.609985,305.200012,305.200012,5835100
05/12/2017,302,308,301,303.700012,303.700012,4646500
06/12/2017,300.100006,313.390015,300,313.26001,313.26001,7195300
07/12/2017,312,318.630005,311.049988,311.23999,311.23999,4780600
08/12/2017,314.600006,316.980011,311.26001,315.130005,315.130005,3468500
11/12/2017,314.630005,329.01001,313.75,328.910004,328.910004,7938000
12/12/2017,330.450012,341.440002,330.029999,341.029999,341.029999,8733200
13/12/2017,340.929993,344.220001,336.5,339.029999,339.029999,6221500
14/12/2017,341.01001,347.440002,336.899994,337.890015,337.890015,5799900
15/12/2017,342.040009,343.899994,335.76001,343.450012,343.450012,6933200
18/12/2017,344.899994,346.730011,337.579987,338.869995,338.869995,5476200
19/12/2017,340.26001,341.48999,330.299988,331.100006,331.100006,6825000
20/12/2017,332.690002,333.100006,325.040009,328.980011,328.980011,5953800
21/12/2017,329.589996,333.73999,327.209991,331.660004,331.660004,4385200
22/12/2017,329.51001,330.920013,324.820007,325.200012,325.200012,4215800
26/12/2017,323.829987,323.940002,316.579987,317.290009,317.290009,4378400
27/12/2017,316,317.679993,310.75,311.640015,311.640015,4712100
28/12/2017,311.75,315.820007,309.540009,315.359985,315.359985,4316300
29/12/2017,316.179993,316.410004,310,311.350006,311.350006,3777200
02/01/2018,312,322.109985,311,320.529999,320.529999,4352200
03/01/2018,321,325.25,315.549988,317.25,317.25,4521500
04/01/2018,312.869995,318.549988,305.679993,314.619995,314.619995,9946300
05/01/2018,316.619995,317.23999,312,316.579987,316.579987,4591200
08/01/2018,316,337.019989,315.5,336.410004,336.410004,9859400
09/01/2018,335.160004,338.799988,327.399994,333.690002,333.690002,7146600
10/01/2018,332.200012,337,330,334.799988,334.799988,4309900
11/01/2018,335.23999,344.809998,333.26001,337.950012,337.950012,6645500
12/01/2018,338.630005,340.410004,333.670013,336.220001,336.220001,4825100
16/01/2018,337.540009,345,334.799988,340.059998,340.059998,6474300
17/01/2018,340.470001,349,339.75,347.160004,347.160004,7083700
18/01/2018,345.670013,352.299988,343.73999,344.570007,344.570007,5685800
19/01/2018,345,350.589996,342.600006,350.019989,350.019989,4888300
22/01/2018,349.399994,357.829987,349.200012,351.559998,351.559998,6210400
23/01/2018,360,360.5,351,352.790009,352.790009,5465400
24/01/2018,354.579987,354.75,343.519989,345.890015,345.890015,5287500
25/01/2018,348.269989,349.200012,336.399994,337.640015,337.640015,6740300
26/01/2018,341.5,344,335.709991,342.850006,342.850006,4539400
29/01/2018,339.850006,350.850006,338.279999,349.529999,349.529999,4747100
30/01/2018,345.140015,348.269989,342.170013,345.820007,345.820007,4717700
31/01/2018,347.51001,356.190002,345.190002,354.309998,354.309998,6214100
01/02/2018,351,359.660004,348.630005,349.25,349.25,4197700
02/02/2018,348.440002,351.950012,340.51001,343.75,343.75,3704800
05/02/2018,337.970001,344.470001,333,333.130005,333.130005,4464100
06/02/2018,325.209991,336.220001,323.5,333.970001,333.970001,5088400
07/02/2018,338.98999,346,335.660004,345,345,6969200
08/02/2018,343.309998,348.619995,314.600006,315.230011,315.230011,10314600
09/02/2018,319.929993,320.980011,294.76001,310.420013,310.420013,12933700
12/02/2018,316.130005,318.079987,306.25,315.730011,315.730011,6227800
13/02/2018,315.019989,324.190002,312.51001,323.660004,323.660004,4560200
14/02/2018,320.839996,326.170013,318.519989,322.309998,322.309998,3950700
15/02/2018,324.5,334.119995,322.399994,334.070007,334.070007,5912900
16/02/2018,332.5,343.119995,331.640015,335.48999,335.48999,5642600
20/02/2018,334.470001,340.839996,331.5,334.769989,334.769989,4009400
21/02/2018,336.029999,339.690002,333.170013,333.299988,333.299988,3219600
22/02/2018,335.529999,347.440002,334.75,346.170013,346.170013,6969800
23/02/2018,347.829987,354.98999,347.100006,352.049988,352.049988,5817400
26/02/2018,353.5,359,352.359985,357.420013,357.420013,4340000
27/02/2018,356.25,359.98999,350.01001,350.98999,350.98999,4797400
28/02/2018,352.570007,355.23999,342.220001,343.059998,343.059998,6069700
01/03/2018,345.01001,348.670013,330.070007,330.929993,330.929993,6885600
02/03/2018,326.980011,335.220001,322.970001,335.119995,335.119995,5092800
05/03/2018,332.390015,337.75,329.290009,333.350006,333.350006,3823800
06/03/2018,333.75,336.369995,327.029999,328.200012,328.200012,4285700
07/03/2018,325.440002,332.5,321.73999,332.299988,332.299988,5007300
